"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-01","4.92",,"0.00","0.0","0.0",,"78","38","  330","  320","16.1","33.1","    1",,,"    1"
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-02","8.72",,"0.00","0.0","0.0",,"48","25","  340","  330","18.1","35.1",,,"    1",
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-03","1.79",,"0.00","0.0","0.0",,"57","28","  120","  120","8.1","13.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-04","3.36",,"0.00","0.0","0.0",,"67","36","  200","  210","14.1","28.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-05","1.34",,"0.00","0.0","0.0",,"74","42","  290","  300","8.9","14.1",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-06","6.93",,"0.00","0.0","0.0",,"56","34","   10","  360","15.0","30.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-07","2.01",,"0.02","0.0","0.0",,"42","28","   10","  330","8.1","14.1","    1",,,"    1"
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-08","2.01",,"0.12","0.0","0.0",,"63","42","  220","  180","8.9","17.0","    1","    1",,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-09","6.71",,"0.00","0.0","0.0",,"64","48","  360","  360","17.0","30.0","    1",,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-10","7.16",,"0.00","0.0","0.0",,"59","41","  360","  360","14.1","25.1",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-11","1.12",,"0.00","0.0","0.0",,"51","41","   20","   30","8.9","15.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-12","0.89",,"0.00","0.0","0.0",,"66","43","  130","  150","6.9","11.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-13","3.13",,"0.00","0.0","0.0",,"75","40","  300","  290","12.1","21.9",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-14","3.58",,"0.00","0.0","0.0",,"78","43","  190","  300","14.1","27.1",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-15","12.53",,"0.00","0.0","0.0",,"64","41","  340","  320","23.0","44.1",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-16","3.36",,"0.00","0.0","0.0",,"63","34","  330","  330","10.1","21.9",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-17","2.24",,"0.00","0.0","0.0",,"68","34","  100","  160","8.1","14.1",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-18","4.92",,"0.00","0.0","0.0",,"75","44","  220","  190","14.1","30.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-19","5.59",,"0.00","0.0","0.0",,"81","42","  350","   10","18.1","36.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-20","10.51",,"0.00","0.0","0.0",,"42","32","  360","  350","17.0","32.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-21","4.92",,"0.00","0.0","0.0",,"50","28","  360","   10","13.0","23.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-22","2.01",,"0.00","0.0","0.0",,"55","28","   20","   20","8.9","15.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-23","0.45",,"0.00","0.0","0.0",,"58","42","  200","  210","6.0","11.0",,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-24","0.45",,"0.13","0.0","0.0",,"53","44","  110","  250","6.0","11.0","    1",,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-25","3.58",,"0.00","0.0","0.0",,"53","46","   20","   30","8.1","16.1","    1",,,
"USW00013958","AUSTIN CAMP MABRY, TX US","2022-01-26","4.03",,"0.00","0.0","0.0",,"55","42","  110","   30","8.9","19.0",,,,
